{{SummonEntry| Atlasdam                    | Guard                          |  7 | Physical Boost         |           |  6 }}
{{SummonEntry| Atlasdam Palace             | Guard                          |  8 | Peerless Strike        | Polearms  |  6 }}
{{SummonEntry| Atlasdam Palace             | Landscape Artist               |  2 | Brush Toss             | Daggers   |  9 }}
{{SummonEntry| Atlasdam Palace             | Art Lover                      |  4 | Fire Storm             | Fire      |  8 }}
{{SummonEntry| Atlasdam Palace             | Guard                          |  7 | Defensive Posture      |           |  6 }}
{{SummonEntry| Atlasdam Palace Gates       | Guard                          |  5 | Sweeping Slash         | Swords    |  7 }}
{{SummonEntry| Atlasdam Palace Gates       | Handsome Minstrel              |  3 | Slash                  | Daggers   |  8 }}
{{SummonEntry| Atlasdam Palace Gates       | Know-it-all Milo               |  5 | Sleepweed              |           |  7 }}
{{SummonEntry| Atlasdam Palace Gates       | Elderly Woman                  |  3 | Fire Storm             | Fire      |  8 }}
{{SummonEntry| Atlasdam Palace Gates       | Merchant                       |  2 | Slash                  | Daggers   |  9 }}
{{SummonEntry| Atlasdam Palace Gates       | Guardsman                      |  5 | Blinding Arrow         | Bows      |  7 }}
{{SummonEntry| Atlasdam Palace Gates       | Guardsman                      |  5 | Blinding Arrow         | Bows      |  7 }}
{{SummonEntry| Atlasdam Palace Gates       | Enthusiastic Youth             |  3 | High Thrust            | Swords    |  8 }}
{{SummonEntry| Atlasdam Palace Gates       | Guard                          |  6 | Pointed Shot           | Bows      |  7 }}
{{SummonEntry| Atlasdam                    | Shifty Moneylender             |  4 | Extort                 |           |  8 }}
{{SummonEntry| Atlasdam                    | Apothecary                     |  2 | Mental Augmentation    |           |  9 }}
{{SummonEntry| Atlasdam                    | Tavern Patron                  | 10 | Peerless Strike        | Polearms  |  4 }}
{{SummonEntry| Atlasdam                    | Tavern Patron                  |  4 | Befuddling Dust        |           |  8 }}
{{SummonEntry| Atlasdam                    | Crest-bearing Drunk            |  6 | Poison                 |           |  7 }}
{{SummonEntry| Atlasdam                    | Obstinate Merchant             |  4 | Physical Boost         |           |  8 }}
{{SummonEntry| Atlasdam                    | Townsperson                    |  2 | Healing Grape (M)      |           |  9 }}
{{SummonEntry| Atlasdam                    | Guard                          |  4 | Defensive Posture      |           |  9 }}
{{SummonEntry| Atlasdam                    | Dan                            |  3 | Dagger Storm           | Daggers   |  8 }}
{{SummonEntry| Atlasdam                    | Slender Farmer                 |  2 | Exploit Weakness       | Polearms  |  9 }}
{{SummonEntry| Atlasdam                    | Youth's Mother                 |  2 | Full Swing             | Axes      |  9 }}
{{SummonEntry| Atlasdam                    | Capable Culinarian             |  4 | Flambé                 | Fire      |  8 }}
{{SummonEntry| Atlasdam                    | Erstwhile Retainer             |  2 | Inspiriting Plum       |           |  9 }}
{{SummonEntry| Atlasdam                    | Calm Woman                     |  2 | Flurry                 | Bows      |  9 }}
{{SummonEntry| Atlasdam                    | Shifty Moneylender             |  4 | Extort                 |           |  8 }}
{{SummonEntry| Atlasdam                    | Theracio                       |  3 | Wisdom of the Church   |           |  8 }}
{{SummonEntry| Atlasdam Royal Library      | Astute Offical                 |  2 | Dagger Storm           | Daggers   |  9 }}
{{SummonEntry| Atlasdam Royal Library      | Mercedes                       |  3 | Mental Augmentation    |           |  8 }}
{{SummonEntry| Atlasdam Palace Gates       | Passionate Reader              |  2 | Tome Tempest           |           |  9 }}
{{SummonEntry| Atlasdam                    | Paul                           |  5 | Lightning Storm        | Lightning |  7 }}
{{SummonEntry| The Whistlewood             | Gustav, the Black Knight       |  7 | Cross Strike           | Swords    |  6 }}
{{SummonEntry| Bolderfall                  | Enlightened Aristocrat         |  3 | Mental Augmentation    |           |  8 }}
{{SummonEntry| Bolderfall                  | Stern Guardsman                |  5 | Sweep                  | Swords    |  7 }}
{{SummonEntry| Bolderfall                  | Townsperson                    |  2 | Fireball               | Fire      |  9 }}
{{SummonEntry| Bolderfall                  | Genteel Madam                  |  1 | Slash                  | Daggers   |  9 }}
{{SummonEntry| Bolderfall                  | Industrious Husband            |  3 | Thrash                 | Polearms  |  8 }}
{{SummonEntry| Bolderfall                  | Merchant                       |  3 | Steel Defenses         |           |  8 }}
{{SummonEntry| Bolderfall                  | Proud Collector                |  3 | Slumber Slash          | Daggers   |  8 }}
{{SummonEntry| Bolderfall                  | Elderly Woman                  |  1 | Inspiriting Plum       |           |  9 }}
{{SummonEntry| Bolderfall                  | Merchant                       |  2 | Improved Offense       |           |  9 }}
{{SummonEntry| Bolderfall                  | Beastmaster                    |  3 | Thrash                 | Polearms  |  8 }}
{{SummonEntry| Bolderfall                  | Townsperson                    |  3 | Slow Motion            |           |  8 }}
{{SummonEntry| Ravus Manor Gate            | Guard                          |  6 | Panic Arrow            | Bows      |  7 }}
{{SummonEntry| Ravus Manor Gate            | Heathcote                      |  6 | Double Spear           | Swords    |  7 }}
{{SummonEntry| Ravus Manor Gate            | Guard                          |  7 | High Thrust            | Swords    |  6 }}
{{SummonEntry| Ravus Manor Gate            | Guard                          |  7 | Stunning Strike        | Swords    |  6 }}
{{SummonEntry| Ravus Manor Gate            | Guard Captain                  |  9 | Guillotine             | Swords    |  5 }}
{{SummonEntry| Ravus Manor Gate            | Guard                          |  5 | Blinding Slash         | Daggers   |  7 }}
{{SummonEntry| Ravus Manor Gate            | Guard                          |  6 | Sweeping Slash         | Swords    |  7 }}
{{SummonEntry| Lower Bolderfall            | Wallace Wildsword              |  4 | Sweeping Slash         | Swords    |  8 }}
{{SummonEntry| Lower Bolderfall            | Pauper Revolutionary           |  4 | Inhibit Offense        |           |  8 }}
{{SummonEntry| Lower Bolderfall            | Omar                           |  7 | Overhead Swing         | Axes      |  6 }}
{{SummonEntry| Lower Bolderfall            | Morlock                        |  4 | Lightning Storm        | Lightning |  8 }}
{{SummonEntry| Lower Bolderfall            | Townsperson                    | 10 | Guillotine             | Swords    |  4 }}
{{SummonEntry| Lower Bolderfall            | Pauper                         |  4 | Healing Grape          |           |  8 }}
{{SummonEntry| Lower Bolderfall            | Veteran Brigand                |  3 | Poison Slash           | Daggers   |  8 }}
{{SummonEntry| Lower Bolderfall            | Fledgling Bandit               |  2 | Head Bash              | Axes      |  9 }}
{{SummonEntry| Clearbrook                  | Magg the Cook                  |  6 | Well Done              | Fire      |  7 }}
{{SummonEntry| Clearbrook                  | Regular Patron                 |  2 | Stab                   | Polearms  |  9 }}
{{SummonEntry| Clearbrook                  | Meryl's Father                 |  1 | Sweep                  | Swords    |  9 }}
{{SummonEntry| Clearbrook                  | Meryl                          |  3 | Flurry                 | Bows      |  8 }}
{{SummonEntry| Clearbrook                  | Elderly Woman                  | 10 | Mighty Blow            | Staves    |  4 }}
{{SummonEntry| Clearbrook                  | Zeph                           |  4 | Concoct Poison         |           |  8 }}
{{SummonEntry| Clearbrook                  | Gertas                         |  2 | Poison                 |           |  9 }}
{{SummonEntry| Clearbrook                  | Townsperson                    |  2 | Head Bash              | Axes      |  9 }}
{{SummonEntry| Clearbrook                  | Mercedes                       |  3 | Mental Augmentation    |           |  8 }}
{{SummonEntry| Clearbrook                  | Angler                         |  5 | Peerless Strike        | Polearms  |  7 }}
{{SummonEntry| Clearbrook                  | Meryl's Mother                 |  3 | Physical Boost         |           |  8 }}
{{SummonEntry| Clearbrook                  | Professor Bastete              |  5 | Wisdom of the Church   |           |  7 }}
{{SummonEntry| Clearbrook                  | Scholar                        |  2 | Sweep                  | Swords    |  9 }}
{{SummonEntry| Clearbrook                  | Garrulous Grandfather          |  4 | Steel Defenses         |           |  8 }}
{{SummonEntry| Clearbrook                  | Zeph                           |  4 | Concoct Poison         |           |  8 }}
{{SummonEntry| West Clearbrook Traverse    | Friendly Farmer                |  1 | Shatter and Smash      | Axes      |  9 }}
{{SummonEntry| West Clearbrook Traverse    | Fishmonger                     |  3 | Slice                  | Swords    |  8 }}
{{SummonEntry| South Clearbrook Traverse   | Lost Grandfather               |  4 | Steel Defenses         |           |  8 }}
{{SummonEntry| Cobbleston                  | Watchman                       |  1 | Sweeping Slash         | Swords    |  9 }}
{{SummonEntry| Cobbleston                  | Villager                       |  4 | Exploit Weakness       | Polearms  |  8 }}
{{SummonEntry| Cobbleston                  | Melancholy Youth               |  2 | Exploit Weakness       | Polearms  |  9 }}
{{SummonEntry| Cobbleston                  | Noelle                         |  1 | Improved Offense       |           |  9 }}
{{SummonEntry| Cobbleston                  | Courageous Cowherd             |  3 | Manure Toss            | Axes      |  8 }}
